Breakdown,2021-03-31 00:00:00,2020-03-31 00:00:00,2019-03-31 00:00:00,2018-03-31 00:00:00,ticker
investments,3022000.0,3022000.0,-616000.0,-5825000.0,CIA.AX
changeToLiabilities,47554000.0,9473000.0,-18784000.0,61513000.0,CIA.AX
totalCashflowsFromInvestingActivities,-244142000.0,-152892000.0,-72930000.0,-101180000.0,CIA.AX
netBorrowings,-26250000.0,456000.0,29087000.0,161116000.0,CIA.AX
totalCashFromFinancingActivities,-26300000.0,-14890000.0,20501000.0,238801000.0,CIA.AX
changeToOperatingActivities,5737000.0,429000.0,-6165000.0,-38912000.0,CIA.AX
issuanceOfStock,36277000.0,21181000.0,2025000.0,20633000.0,CIA.AX
netIncome,464425000.0,89426000.0,83046000.0,-74475000.0,CIA.AX
changeInCash,327953000.0,145939000.0,127529000.0,6032000.0,CIA.AX
effectOfExchangeRate,-25081000.0,4154000.0,3260000.0,60000.0,CIA.AX
totalCashFromOperatingActivities,623476000.0,309567000.0,176698000.0,-131649000.0,CIA.AX
depreciation,33374000.0,21086000.0,13310000.0,4939000.0,CIA.AX
otherCashflowsFromInvestingActivities,-70228000.0,616000.0,616000.0,348000.0,CIA.AX
dividendsPaid,-28439000.0,-28439000.0,-28439000.0,-28439000.0,CIA.AX
changeToInventory,-8488000.0,-12118000.0,2609000.0,-48171000.0,CIA.AX
changeToAccountReceivables,-74205000.0,67629000.0,-65981000.0,-19196000.0,CIA.AX
otherCashflowsFromFinancingActivities,-7888000.0,-10527000.0,-10611000.0,57052000.0,CIA.AX
changeToNetincome,15885000.0,48540000.0,130793000.0,-21554000.0,CIA.AX
capitalExpenditures,-175231000.0,-147995000.0,-72314000.0,-97569000.0,CIA.AX
repurchaseOfStock,,-211000000.0,-211000000.0,-211000000.0,CIA.AX
