Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
investments,23500000.0,23500000.0,-6400000.0,5900000.0,OGC.AX
changeToLiabilities,70300000.0,9300000.0,3400000.0,20000000.0,OGC.AX
totalCashflowsFromInvestingActivities,-225800000.0,-239700000.0,-229000000.0,-262600000.0,OGC.AX
netBorrowings,37000000.0,-15400000.0,-63900000.0,-84000000.0,OGC.AX
totalCashFromFinancingActivities,159500000.0,-21000000.0,-79300000.0,-89500000.0,OGC.AX
changeToOperatingActivities,3100000.0,1600000.0,1600000.0,-14100000.0,OGC.AX
issuanceOfStock,122500000.0,700000.0,3200000.0,6800000.0,OGC.AX
netIncome,-150400000.0,14500000.0,121700000.0,171800000.0,OGC.AX
changeInCash,130000000.0,-58700000.0,34500000.0,4300000.0,OGC.AX
effectOfExchangeRate,-2500000.0,-2300000.0,-3400000.0,-1300000.0,OGC.AX
totalCashFromOperatingActivities,198800000.0,204300000.0,346200000.0,357700000.0,OGC.AX
depreciation,268300000.0,177200000.0,193500000.0,192300000.0,OGC.AX
changeToInventory,6400000.0,-16500000.0,-16100000.0,-24300000.0,OGC.AX
changeToNetincome,22600000.0,15700000.0,34800000.0,25500000.0,OGC.AX
capitalExpenditures,-253700000.0,-242400000.0,-223900000.0,-270300000.0,OGC.AX
dividendsPaid,,-6300000.0,-18600000.0,-12300000.0,OGC.AX
changeToAccountReceivables,,15700000.0,9200000.0,-7300000.0,OGC.AX
