Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
investments,-2345000000.0,-1017000000.0,1534000000.0,442000000.0,QBE.AX
changeToLiabilities,939000000.0,557000000.0,-1162000000.0,264000000.0,QBE.AX
totalCashflowsFromInvestingActivities,-2162000000.0,-1076000000.0,1706000000.0,297000000.0,QBE.AX
netBorrowings,157000000.0,-258000000.0,-406000000.0,79000000.0,QBE.AX
totalCashFromFinancingActivities,1193000000.0,-984000000.0,-915000000.0,-721000000.0,QBE.AX
changeToOperatingActivities,1357000000.0,282000000.0,370000000.0,115000000.0,QBE.AX
issuanceOfStock,1301000000.0,1000000.0,1000000.0,1000000.0,QBE.AX
netIncome,-1517000000.0,550000000.0,390000000.0,-1249000000.0,QBE.AX
changeInCash,219000000.0,-316000000.0,291000000.0,-275000000.0,QBE.AX
effectOfExchangeRate,-46000000.0,-37000000.0,-35000000.0,-20000000.0,QBE.AX
totalCashFromOperatingActivities,1234000000.0,1779000000.0,-443000000.0,172000000.0,QBE.AX
depreciation,132000000.0,158000000.0,95000000.0,87000000.0,QBE.AX
otherCashflowsFromInvestingActivities,277000000.0,-64000000.0,-46000000.0,-3000000.0,QBE.AX
dividendsPaid,-265000000.0,-459000000.0,-237000000.0,-537000000.0,QBE.AX
changeToAccountReceivables,-433000000.0,616000000.0,-487000000.0,361000000.0,QBE.AX
changeToNetincome,706000000.0,-427000000.0,318000000.0,563000000.0,QBE.AX
capitalExpenditures,-40000000.0,-30000000.0,-30000000.0,-68000000.0,QBE.AX
repurchaseOfStock,,-268000000.0,-273000000.0,-264000000.0,QBE.AX
